predict_method, nbits, table_size, accuracy
saturating, 1, 1, 0.6250428159088586
saturating, 2, 1, 0.7454654796644142
saturating, 2, 4, 0.7332706962744622
saturating, 1, 2, 0.6047150170204423
saturating, 1, 4, 0.7566035649727608
saturating, 2, 2, 0.6835634211828886
saturating, 1, 8, 0.8399169151303321
saturating, 4, 2, 0.6909610816084524
saturating, 2, 1, 0.7454654796644142
saturating, 3, 1, 0.7429406831953567
saturating, 3, 4, 0.7326992048550073
saturating, 4, 4, 0.7241019734929743
saturating, 3, 2, 0.6807144764831958
saturating, 3, 8, 0.8440665154877753
saturating, 4, 1, 0.748978681570843
saturating, 4, 2, 0.6909610816084524
